Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Consumer Price Index CPI,1961-04-30T00:00:00,29.81,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1961-05-31T00:00:00,29.84,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1961-06-30T00:00:00,29.84,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1961-07-31T00:00:00,29.92,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1961-08-31T00:00:00,29.94,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1961-09-30T00:00:00,29.98,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1961-10-31T00:00:00,29.98,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1961-11-30T00:00:00,29.98,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1961-12-31T00:00:00,30.01,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-01-31T00:00:00,30.04,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-02-28T00:00:00,30.11,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-03-31T00:00:00,30.17,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-04-30T00:00:00,30.21,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1962-05-31T00:00:00,30.24,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-06-30T00:00:00,30.21,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-07-31T00:00:00,30.22,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1962-08-31T00:00:00,30.28,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-09-30T00:00:00,30.42,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1962-10-31T00:00:00,30.38,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-11-30T00:00:00,30.38,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1962-12-31T00:00:00,30.38,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1963-01-31T00:00:00,30.44,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-02-28T00:00:00,30.48,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-03-31T00:00:00,30.51,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-04-30T00:00:00,30.48,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-05-31T00:00:00,30.51,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-06-30T00:00:00,30.61,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1963-07-31T00:00:00,30.69,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-08-31T00:00:00,30.75,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-09-30T00:00:00,30.72,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1963-10-31T00:00:00,30.75,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-11-30T00:00:00,30.78,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1963-12-31T00:00:00,30.88,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1964-01-31T00:00:00,30.94,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1964-02-29T00:00:00,30.91,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1964-03-31T00:00:00,30.94,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1964-04-30T00:00:00,30.95,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1964-05-31T00:00:00,30.98,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1964-06-30T00:00:00,31.01,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1964-07-31T00:00:00,31.02,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1964-08-31T00:00:00,31.05,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1964-09-30T00:00:00,31.08,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1964-10-31T00:00:00,31.12,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
